lsoa11,year,dla_pip_pct,est_qof_dep,antidep_rate,z_mh_rate,samhi_index,samhi_dec
E01000293,2017,0.688863375,5.807946129,23.74258913,-0.942275797,-1.129840143,1
E01000294,2017,2.240437158,6.501298926,24.01081803,0.801097878,0.06496158,6
E01000295,2017,1.052016365,5.560719801,18.70490465,-1.015174056,-1.293830245,1
E01000296,2017,1.714898178,5.515263239,18.52576009,-1.024736532,-1.295253852,1
E01000297,2017,0.320307495,6.071325484,18.45341815,-0.941851074,-1.19934927,1
E01000298,2017,0.803616273,5.741887707,18.4662828,-0.845055929,-1.1737583,1
E01000299,2017,0.915662651,7.346341591,21.6864422,-0.616635378,-0.751244914,2
E01000300,2017,1.044083527,7.02671139,21.65580195,-0.525774137,-0.734126608,2
E01000301,2017,1.277955272,6.095598235,19.03899529,-1.104418209,-1.254451515,1
E01000302,2017,2.106741573,6.589411835,19.92002489,-0.673316648,-0.891108626,1
E01000303,2017,0.409836066,5.618380144,18.65325222,-1.013833808,-1.304772845,1
E01000304,2017,2.271368799,5.60723702,19.02389005,-0.847769453,-1.154659994,1
E01000305,2017,2.007808143,6.573649957,16.99705873,-0.181890736,-0.651037233,2
E01000306,2017,0.357142857,6.586747019,17.36078798,-0.761977737,-1.035654168,1
E01000307,2017,0.81919251,6.517094183,17.36833671,-0.39725197,-0.809026648,2
E01000308,2017,4.045643154,6.770302323,16.67214744,-0.319711857,-0.686085983,2
E01000309,2017,1.834381551,6.476014698,18.41841991,-1.120276173,-1.209276469,1
E01000310,2017,1.372456223,6.350976502,17.40268654,-0.257293031,-0.732966083,2
E01000311,2017,0.916442049,6.414084249,20.91527205,-1.318035855,-1.312873874,1
E01000312,2017,2.237136465,6.91292012,14.46262642,1.395284313,0.306118615,7
E01000313,2017,1.012425219,6.794790527,17.63667817,-0.784563386,-0.995159715,1
E01000314,2017,0.284765069,6.292476457,17.45625376,-0.991759734,-1.217018668,1
E01000315,2017,3.078677309,6.92488165,20.07750199,0.054003125,-0.388890165,3
E01000316,2017,1.722723544,6.638797034,18.39060859,-0.933762867,-1.076677541,1
E01000317,2017,0.668896321,6.453130086,19.66216379,-0.126800155,-0.61723015,2
E01000318,2017,0.743099788,7.033137426,20.21058333,-0.738751475,-0.896839829,1
E01000319,2017,0.693568726,6.051737276,18.26102902,-1.398289349,-1.468519705,1
E01000320,2017,0.290528762,7.347732621,22.81939025,-0.932075409,-0.942172895,1
