2021 super output area - lower layer,mnemonic,Total_pop,Female,Male,Total_HHs,1_HH,2_HH,3_HH,4_HH_or_more,Age_24_below,Age_ 25_34,Age_35_49,Age_50_64,Age_65_over,"Asian, Asian British or Asian Welsh","Black, Black British, Black Welsh, Caribbean or African",Mixed or Multiple ethnic groups,White,Other ethnic group,Unemployment,IMD_score
Bradford 023E,E01010858,1569,802,767,728,243,271,105,109,368,157,309,423,312,10,9,17,1528,4,472,13.142
Bradford 023F,E01010861,1767,887,880,772,199,325,117,131,413,186,292,447,433,9,4,25,1726,5,617,10.13
Bradford 024A,E01010603,1626,840,786,635,161,198,115,161,487,235,282,326,296,269,11,61,1273,14,556,23.458
Bradford 024B,E01010604,1800,917,883,765,223,287,117,138,447,216,279,378,480,271,10,29,1454,36,715,19.588
Bradford 024C,E01010605,1599,810,789,652,221,176,103,152,569,203,288,339,202,163,41,85,1305,6,566,44.393
Bradford 024D,E01010775,1778,897,881,701,151,259,132,159,498,247,315,374,342,367,20,51,1300,40,586,13.533
Bradford 024E,E01010778,2040,1075,965,810,218,267,141,184,752,305,419,337,226,348,51,91,1443,107,642,38.241
Bradford 025A,E01010789,1834,929,905,681,251,129,98,203,687,233,411,273,232,818,27,44,888,55,678,32.376
Bradford 025B,E01010791,1832,906,926,526,134,107,64,221,669,233,382,295,251,1239,14,45,489,46,677,29.879
Bradford 025C,E01010792,1989,1006,983,600,186,90,56,268,832,263,418,294,182,1460,19,44,420,49,770,41.28
Bradford 025D,E01010793,1845,913,932,588,185,104,77,222,733,308,340,287,177,1281,12,42,478,30,679,32.329
Bradford 026A,E01010652,1661,852,809,799,314,274,100,111,425,199,273,328,436,138,20,42,1462,1,658,26.928
Bradford 026B,E01010653,1968,1030,938,838,264,266,150,158,727,276,388,327,249,102,60,91,1675,40,653,54.553
Bradford 026C,E01010655,1506,832,674,580,120,224,111,125,624,216,295,228,143,69,15,101,1315,4,534,57.583
Bradford 026D,E01010656,1560,819,741,615,182,194,96,143,471,177,277,325,311,366,6,37,1123,27,567,25.164
Bradford 026E,E01010657,1440,781,659,669,222,249,120,78,406,250,245,298,240,119,1,50,1267,3,475,29.106
Bradford 027A,E01010649,1457,699,758,665,245,212,102,106,416,232,286,306,216,131,41,43,1235,6,470,38.892
Bradford 027B,E01010650,2168,1160,1008,732,145,162,170,255,973,298,473,307,120,273,68,81,1719,28,676,51.501
Bradford 027C,E01010654,1712,887,825,673,207,177,113,176,680,230,370,259,171,56,36,80,1533,9,539,58.621
Bradford 027D,E01010826,1670,846,824,533,133,107,99,194,801,215,332,220,102,844,29,46,679,70,571,61.295
Bradford 028A,E01010597,1544,777,767,621,175,198,107,141,464,234,272,335,240,445,20,62,969,44,504,29.52
Bradford 028B,E01010598,1671,869,802,640,178,212,89,161,514,220,284,329,323,673,21,65,883,28,626,21.875
Bradford 028C,E01010599,1374,721,653,460,94,127,81,158,499,198,273,234,169,682,42,64,537,56,441,32.875
Bradford 028D,E01010600,1448,770,678,472,105,128,66,173,518,174,292,235,230,871,21,49,426,81,564,30.771
Bradford 028E,E01010602,1654,838,816,655,211,181,114,149,557,239,335,287,237,711,18,62,820,46,558,27.098
Bradford 029A,E01010670,1843,931,912,459,99,92,49,219,707,247,373,305,211,1305,27,53,405,52,780,31.041
Bradford 029B,E01010671,1735,898,837,513,128,84,74,227,669,252,370,232,210,1366,8,28,279,53,643,27.791
Bradford 029C,E01010673,1977,943,1034,487,95,74,50,268,830,309,451,214,173,1621,17,82,219,37,848,42.601
Bradford 029D,E01010675,2154,1077,1077,643,184,136,69,254,745,265,421,344,378,1482,26,50,528,72,956,28.986
Bradford 030A,E01010669,2231,1196,1035,645,130,117,97,301,991,278,488,271,204,1706,25,56,398,48,779,32.157
Bradford 030B,E01010674,2273,1153,1120,639,117,109,99,314,1116,303,543,214,98,1658,38,67,423,87,772,45.12
Bradford 030D,E01010805,1838,917,921,509,129,91,60,229,747,255,398,236,201,1298,20,63,383,72,730,33.802
Bradford 030E,E01033898,1594,811,783,456,73,97,60,226,733,275,300,187,97,1174,12,43,333,31,577,#N/A
Bradford 030F,E01033899,1651,894,757,475,45,89,126,215,887,328,300,108,26,1240,34,61,238,80,554,#N/A
Bradford 031A,E01010590,2200,1127,1073,931,233,373,152,173,560,258,394,537,451,84,8,32,2069,5,690,13.5
Bradford 031B,E01010592,1665,912,753,779,261,300,103,115,400,171,330,302,464,37,6,47,1575,1,646,15.792
Bradford 031C,E01010594,1670,874,796,710,171,284,135,120,444,188,280,402,356,34,9,42,1578,7,546,16.723
Bradford 031D,E01010595,2137,1072,1065,959,339,307,145,168,648,290,440,439,321,90,31,56,1944,16,626,27.1
Bradford 032A,E01010601,1831,944,887,770,281,214,109,166,629,253,379,322,247,422,6,65,1320,17,548,27.172
Bradford 032B,E01010651,1671,840,831,638,159,214,95,170,550,244,302,321,256,405,9,54,1189,17,497,21.218
Bradford 032C,E01010825,1539,783,756,576,159,178,83,156,544,207,328,253,208,547,31,50,900,11,478,28.01
Bradford 032D,E01010827,1557,740,817,558,159,141,69,189,585,232,304,245,191,735,34,47,722,16,540,33.054
Bradford 033A,E01010804,2292,1158,1134,479,43,65,56,315,925,374,461,309,221,2139,16,24,65,47,905,36.119
Bradford 033B,E01010806,1683,871,812,499,133,101,45,220,703,229,341,253,158,1327,33,26,231,65,667,39.749
Bradford 033C,E01010807,2326,1136,1190,856,377,148,89,242,906,484,433,280,225,1774,82,73,322,77,978,48.563
Bradford 033D,E01010808,2335,1180,1155,551,55,82,69,345,1099,339,508,259,133,2146,19,22,107,40,951,46.668
Bradford 033E,E01010809,2152,1111,1041,488,65,60,61,302,936,306,439,266,204,1987,22,14,66,62,941,49.006
Bradford 034A,E01010676,2420,1213,1207,561,96,56,64,345,1033,378,516,278,214,2108,84,63,68,94,1013,50.758
Bradford 034B,E01010679,2103,1055,1048,611,221,88,71,231,806,310,437,299,253,1482,65,41,397,119,951,71.145
Bradford 034C,E01010824,1917,959,958,749,362,141,73,173,734,345,394,287,155,1010,74,71,679,83,773,61.725
Bradford 034D,E01010840,1882,946,936,543,174,70,55,244,767,284,336,244,250,1563,79,37,175,31,893,62.245
Bradford 034E,E01010841,1835,872,963,487,155,57,33,242,756,257,408,205,209,1580,33,24,177,21,753,60.474
Bradford 035A,E01010828,1640,851,789,724,317,186,86,135,536,230,318,286,270,551,36,51,969,32,679,45.552
Bradford 035B,E01010829,1694,817,877,604,219,122,64,199,689,196,389,251,170,986,36,42,565,65,714,47.912
Bradford 035C,E01010830,2429,1196,1233,770,208,142,104,316,1198,321,526,227,158,1555,102,69,616,89,921,53.073
Bradford 035D,E01010831,2197,1050,1147,626,204,82,46,294,987,395,434,261,121,1635,55,72,364,68,829,50.743
Bradford 035E,E01010832,2429,1246,1183,582,99,72,66,345,1163,288,479,287,212,1862,35,94,398,40,983,46.628
Bradford 036A,E01010672,1347,686,661,554,164,171,107,112,413,186,262,264,222,324,19,55,928,23,418,13.078
Bradford 036B,E01010678,1419,700,719,555,177,162,76,140,464,138,275,271,271,684,14,31,672,16,542,22.17
Bradford 036C,E01010799,1598,823,775,661,220,219,81,141,524,191,299,312,272,617,35,44,868,35,596,35.542
Bradford 036D,E01010800,1833,977,856,701,213,182,109,197,756,194,383,286,215,507,94,127,1061,41,722,68.848
Bradford 036E,E01010801,2025,1037,988,645,186,130,79,250,825,268,437,286,208,1322,30,84,551,38,747,29.593
Bradford 036F,E01010802,2065,1104,961,783,208,218,149,208,833,355,402,287,186,603,72,151,1175,65,636,47.136
Bradford 037A,E01010803,1916,993,923,572,110,119,97,246,846,302,434,205,129,1426,42,48,337,64,791,55.03
Bradford 037B,E01010810,2219,1120,1099,561,75,93,70,323,1000,289,514,253,163,1783,25,35,291,87,828,31.681
Bradford 037C,E01010811,2249,1150,1099,585,107,77,82,319,1070,310,527,222,120,1907,32,33,179,96,873,46.498
Bradford 037D,E01010813,1905,965,940,527,127,92,64,244,850,281,406,218,152,1470,34,72,267,63,830,57.274
Bradford 038A,E01010618,1805,925,880,517,120,89,80,228,812,261,337,269,126,1311,50,85,328,32,685,53.623
Bradford 038B,E01010619,2216,1132,1084,524,67,52,81,324,967,341,455,283,170,1942,55,45,104,71,824,36.802
Bradford 038C,E01010625,1847,966,881,512,95,75,81,261,907,234,388,200,116,1356,24,56,366,45,735,54.864
Bradford 038D,E01010626,2144,1075,1069,523,54,79,88,302,998,282,455,278,130,1798,21,45,232,49,816,52.186
Bradford 038E,E01010627,1662,827,835,535,112,142,83,198,663,246,347,255,151,1037,9,54,531,35,578,50.874
Bradford 040A,E01010628,1857,957,900,673,177,209,105,182,611,237,328,296,385,775,36,49,947,50,734,37.516
Bradford 040B,E01010629,2309,1199,1110,639,114,152,75,298,963,263,500,284,294,1700,61,45,469,35,893,32.372
Bradford 040C,E01010630,1941,991,950,670,179,152,93,246,815,234,448,234,210,1191,25,46,648,27,625,36.135
Bradford 040D,E01010631,1591,851,740,549,125,156,92,176,653,191,318,277,151,544,80,83,826,57,611,53.89
Bradford 040E,E01010632,1536,802,734,561,158,138,99,166,674,240,316,201,105,603,40,97,726,67,551,58.146
Bradford 041A,E01010658,1987,1021,966,611,118,147,83,263,861,258,437,249,182,1317,39,69,416,147,737,39.28
Bradford 041B,E01010812,2074,1008,1066,618,142,114,103,259,952,345,417,243,115,1362,110,27,435,141,818,56.316
Bradford 041C,E01010833,1741,878,863,596,209,125,66,196,749,321,331,202,137,1132,94,54,353,108,741,52.981
Bradford 041D,E01010843,2045,1024,1021,451,55,40,59,297,978,253,451,212,149,1923,14,16,44,48,917,62.116
Bradford 042A,E01010620,2011,990,1021,556,132,93,76,255,853,280,461,241,176,1575,65,38,238,94,854,56.981
Bradford 042B,E01010621,2336,1137,1199,535,51,59,78,347,1115,339,488,274,120,2197,43,17,51,26,939,42.27
Bradford 042C,E01010622,2627,1337,1290,667,125,93,93,356,1223,363,568,300,174,2149,148,28,247,53,1092,52.793
Bradford 042D,E01010623,1699,830,869,569,199,86,75,209,698,267,346,208,180,1215,42,29,330,81,749,66.301
Bradford 042E,E01010624,2170,1055,1115,584,133,93,62,296,970,301,466,274,159,1815,96,43,132,87,1015,54.574
Bradford 043A,E01010794,1983,1031,952,800,238,269,118,175,559,214,372,355,483,524,38,60,1305,54,807,30.649
Bradford 043B,E01010795,1939,977,962,837,263,289,136,149,563,226,414,439,296,80,27,54,1763,11,568,24.331
Bradford 043C,E01010796,1692,876,816,712,228,221,118,145,515,175,329,344,329,164,17,49,1455,9,656,35.219
Bradford 043D,E01010797,1414,713,701,580,106,259,120,95,373,150,278,359,256,115,17,31,1248,3,371,15.653
Bradford 043E,E01010798,1503,760,743,717,297,228,104,88,402,208,272,330,291,73,4,71,1351,4,537,26.417
Bradford 044A,E01010834,2849,1330,1519,775,495,113,34,133,1554,596,439,153,111,1326,407,94,843,183,1733,31.905
Bradford 044C,E01010836,2051,961,1090,550,150,82,93,225,905,425,401,205,116,1424,181,47,249,147,874,34.733
Bradford 044D,E01010837,2108,1068,1040,507,62,61,75,309,899,315,445,253,197,1819,37,47,113,94,923,43.596
Bradford 044E,E01010838,2184,1066,1118,576,111,67,91,307,1101,353,393,226,111,1606,191,25,236,125,850,53.651
Bradford 044F,E01010839,1683,857,826,530,173,80,78,199,712,285,358,178,149,1156,53,48,344,83,740,54.755
Bradford 044G,E01033900,1584,770,814,407,74,58,52,223,758,214,344,148,120,1265,67,40,74,137,684,#N/A
Bradford 044H,E01033901,1666,844,822,407,45,64,64,234,737,246,348,195,141,1362,68,93,105,40,673,#N/A
Bradford 045A,E01010608,1739,893,846,482,100,83,70,229,785,249,392,200,111,1483,34,40,150,32,729,52.418
Bradford 045B,E01010613,1644,882,762,698,297,159,83,159,592,206,313,323,210,528,53,68,908,84,675,58.727
Bradford 045C,E01010730,1278,587,691,665,357,149,71,88,346,221,295,245,172,256,137,81,681,127,675,75.905
Bradford 045D,E01010734,1552,766,786,492,114,104,77,197,712,241,318,195,85,528,105,46,798,74,547,51.049
Bradford 046A,E01010609,1614,852,762,697,253,198,115,131,539,209,323,292,253,403,33,87,1073,21,598,52.854
Bradford 046B,E01010610,2096,1131,965,881,315,242,140,184,855,342,414,321,163,446,87,134,1406,26,783,63.029
Bradford 046C,E01010611,2226,1151,1075,898,287,255,168,188,858,369,447,310,242,726,80,101,1285,33,798,45.769
Bradford 046D,E01010614,1708,762,946,604,174,194,110,126,759,216,286,261,186,432,72,59,1127,16,675,53.147
Bradford 047A,E01010633,1505,772,733,675,236,230,91,118,426,180,281,293,323,427,23,45,995,17,514,23.378
Bradford 047B,E01010634,1569,807,762,655,169,257,116,113,405,209,249,373,332,131,5,21,1403,8,518,17.501
Bradford 047C,E01010635,1460,768,692,663,268,183,90,122,470,206,240,303,240,310,30,67,1037,16,695,65.517
Bradford 047D,E01010636,1701,898,803,743,241,274,91,137,419,181,318,404,379,280,27,47,1317,31,612,17.115
Bradford 047E,E01010637,2050,1316,734,571,143,177,114,137,1068,175,324,298,181,850,19,56,1097,29,627,26.304
Bradford 048A,E01010731,1615,731,884,632,322,108,51,151,666,330,326,177,118,812,112,69,441,180,690,49.845
Bradford 048B,E01010732,1613,827,786,455,104,64,69,218,779,212,344,178,99,1087,108,50,292,77,628,52.993
Bradford 048C,E01010733,1668,816,852,579,236,84,67,192,662,240,346,255,166,1146,73,59,309,82,827,63.238
Bradford 048D,E01010736,2057,1038,1019,622,144,105,106,267,1023,319,438,200,78,1111,111,64,640,132,667,49.248
Bradford 048E,E01010737,1680,841,839,521,149,72,103,197,770,257,323,191,139,1072,124,58,323,104,685,68.418
Bradford 049A,E01010659,1957,1069,888,620,149,131,110,230,878,212,456,235,173,1187,60,70,555,87,789,62.067
Bradford 049D,E01010662,1483,775,708,500,99,147,80,174,551,177,322,231,202,799,23,68,565,28,495,29.897
Bradford 049E,E01010664,1594,804,790,535,129,136,89,181,589,199,316,237,252,994,11,72,457,56,587,26.416
Bradford 049G,E01010761,1714,909,805,677,216,215,91,155,540,210,318,325,320,615,41,47,923,89,669,30.293
