"","conceptId","term"
"291",32358001,"Amphetamine delusional disorder (disorder)"
"292",32388005,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks (disorder)"
"293",32410009,"Pederasty (disorder)"
"294",32552001,"Organic delusional disorder caused by psychoactive substance (disorder)"
"295",32721004,"Bulimia nervosa, purging type (disorder)"
"296",32875003,"Inhalant-induced persisting dementia (disorder)"
"297",32880007,"Adjustment disorder with work inhibition (disorder)"
"298",33078009,"Severe recurrent major depression with psychotic features, mood-congruent (disorder)"
"299",33135002,"Recurrent major depression in partial remission (disorder)"
"300",33323008,"Somatic delusion disorder (disorder)"
"301",33380008,"Severe manic bipolar I disorder with psychotic features, mood-incongruent (disorder)"
"302",33449004,"Personality disorder (disorder)"
"303",33563008,"Essential vulvodynia (disorder)"
"304",33693007,"Compensation neurosis (disorder)"
"305",33736005,"Severe major depression with psychotic features, mood-congruent (disorder)"
"306",33871004,"Phencyclidine-induced psychotic disorder with hallucinations (disorder)"
"307",33967003,"Male erectile disorder (disorder)"
"308",33982008,"Hyperphosphatasemia with intellectual disability (disorder)"
"309",34116005,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks (disorder)"
"310",34134009,"Shenjing shuairuo (disorder)"
"311",34150001,"Drug dependence in mother complicating pregnancy, childbirth AND/OR puerperium (disorder)"
"312",34315001,"Bipolar II disorder, most recent episode major depressive with melancholic features (disorder)"
"313",34485008,"Axis IV diagnosis (disorder)"
"314",34741005,"Nervios (disorder)"
"315",34743008,"Poisoning caused by psilocin (disorder)"
"316",34764007,"Poisoning caused by paraldehyde (disorder)"
"317",34938008,"Anxiety disorder caused by alcohol (disorder)"
"318",35103004,"Scrapie (disorder)"
"319",35218008,"Chronic disorganized schizophrenia with acute exacerbation (disorder)"
"320",35252006,"Disorganized schizophrenia (disorder)"
"321",35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)"
"322",35481005,"Mixed bipolar I disorder in remission (disorder)"
"323",35489007,"Depressive disorder (disorder)"
"324",35607004,"Panic disorder with agoraphobia (disorder)"
"325",35722002,"Severe bipolar II disorder, most recent episode major depressive, in remission (disorder)"
"326",35827000,"Recurrent conversion disorder (disorder)"
"327",35846004,"Moderate bipolar II disorder, most recent episode major depressive (disorder)"
"328",35919005,"Pervasive developmental disorder (disorder)"
"329",36039004,"Rumination disorder of infancy (disorder)"
"330",36158005,"Schizophreniform disorder with good prognostic features (disorder)"
"331",36170009,"Secondary dysthymia late onset (disorder)"
"332",36217008,"Organic personality disorder (disorder)"
"333",36262007,"Pygmalionism (disorder)"
"334",36474008,"Severe recurrent major depression without psychotic features (disorder)"
"335",36583000,"Mixed bipolar I disorder in partial remission (disorder)"
"336",36622002,"Mild mood disorder (disorder)"
"337",36784008,"Poisoning caused by flurazepam (disorder)"
"338",36923009,"Major depression, single episode (disorder)"
"339",36943003,"Making obscene telephone calls (disorder)"
"340",37224001,"Psychogenic vomiting (disorder)"
"341",37331004,"Organic mood disorder caused by psychoactive substance (disorder)"
"342",37344009,"Harmful pattern of use of cannabis (disorder)"
"343",37739004,"Mood disorder due to a general medical condition (disorder)"
"344",37746008,"Avoidant personality disorder (disorder)"
"345",37868008,"Anxiety disorder of adolescence (disorder)"
"346",37872007,"Avoidant disorder of childhood OR adolescence (disorder)"
"347",37941009,"Rumination disorder (disorder)"
"348",38247002,"Hallucinogen dependence (disorder)"
"349",38295006,"Involutional paraphrenia (disorder)"
"350",38328002,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission (disorder)"
"351",38368003,"Schizoaffective disorder, bipolar type (disorder)"
"352",38451003,"Primary dysthymia early onset (disorder)"
"353",38547003,"Mood disorder in full remission (disorder)"
"354",38694004,"Recurrent major depressive disorder with atypical features (disorder)"
"355",38763009,"Autistic disorder (disorder)"
"356",39003006,"Delirium caused by psychoactive substance (disorder)"
"357",39465007,"Emotional deprivation syndrome (disorder)"
"358",39488008,"Chronic wasting disease of captive mule deer AND/OR elk (disorder)"
"359",39610001,"Undifferentiated schizophrenia in remission (disorder)"
"360",39807006,"Cannabis intoxication delirium (disorder)"
"361",39809009,"Recurrent major depressive disorder with catatonic features (disorder)"
"362",39951001,"Cannabis-induced anxiety disorder (disorder)"
"363",40083003,"Stereotypic movement disorder with self-injurious behavior (disorder)"
"364",40379007,"Mild recurrent major depression (disorder)"
"365",40425004,"Postconcussion syndrome (disorder)"
"366",40568001,"Recurrent brief depressive disorder (disorder)"
"367",40571009,"Hallucinogen intoxication delirium (disorder)"
"368",40673001,"Post-encephalitic syndrome (disorder)"
"369",40700009,"Severe intellectual disability (disorder)"
"370",40926005,"Moderate mixed bipolar I disorder (disorder)"
"371",40950007,"Zar (disorder)"
"372",40987004,"Intermittent explosive disorder (disorder)"
"373",41021005,"Psychologic dyspareunia (disorder)"
"374",41083005,"Sleep disorder caused by ingestible alcohol (disorder)"
"375",41136005,"Phencyclidine poisoning (disorder)"
"376",41196008,"Dhat (disorder)"
"377",41309000,"Alcoholic liver damage (disorder)"
"378",41521002,"Subchronic paranoid schizophrenia with acute exacerbations (disorder)"
"379",41524005,"Flagellantism (disorder)"
"380",41526007,"Reactive attachment disorder (disorder)"
"381",41552001,"Mild bipolar I disorder, single manic episode (disorder)"
"382",41673007,"Ataque de nervios (disorder)"
"383",41832009,"Severe bipolar I disorder, single manic episode with psychotic features (disorder)"
"384",41836007,"Bipolar disorder in full remission (disorder)"
"385",41932008,"Amok (disorder)"
"386",42344001,"Psychosis caused by ingestible alcohol (disorder)"
"387",42584006,"Attention deficit hyperactivity disorder (disorder)"
"388",42594001,"Organic mood disorder of depressed type (disorder)"
"389",42769004,"Diffuse Lewy body disease with spongiform cortical change (disorder)"
"390",42810003,"Major depression in remission (disorder)"
"391",42868002,"Subchronic catatonic schizophrenia (disorder)"
"392",42925002,"Major depressive disorder, single episode with atypical features (disorder)"
"393",43150009,"Panic disorder without agoraphobia with severe panic attacks (disorder)"
"394",43497001,"Amfetamine-induced mood disorder (disorder)"
"395",43568002,"Bipolar II disorder, most recent episode major depressive with atypical features (disorder)"
"396",43614003,"Autistic disorder of childhood onset (disorder)"
"397",43769008,"Mild mixed bipolar I disorder (disorder)"
"398",44031002,"Postseizure confusion (disorder)"
"399",44047000,"Zieve's syndrome (disorder)"
"400",44124003,"Reactive attachment disorder of early childhood (disorder)"
"401",44376007,"Dissociative disorder (disorder)"
"402",44433009,"Recurrent transient tic disorder (disorder)"
"403",44966003,"Passive aggressive personality disorder (disorder)"
"404",45421006,"Amphetamine intoxication (disorder)"
"405",45479006,"Manic bipolar I disorder in remission (disorder)"
"406",45677003,"Developmental expressive writing disorder (disorder)"
"407",45775001,"Poisoning caused by amphetamine (disorder)"
"408",45912004,"Organic hallucinosis (disorder)"
"409",45924006,"Necrophilia (disorder)"
"410",45994004,"Erotic vomiting (disorder)"
"411",46023009,"Pedophilia, same AND opposite sex (disorder)"
"412",46206005,"Mood disorder (disorder)"
"413",46229002,"Severe mixed bipolar I disorder without psychotic features (disorder)"
"414",46244001,"Recurrent major depression in full remission (disorder)"
"415",46372006,"Female sexual arousal disorder (disorder)"
"416",46432001,"Lecherism (disorder)"
"417",46721000,"Organic personality disorder caused by psychoactive substance (disorder)"
"418",46762006,"Sexual desire disorder (disorder)"
"419",46904000,"Transsexualism, previously homosexual (disorder)"
"420",46975003,"Organic mental disorder caused by cocaine (disorder)"
"421",47372000,"Adjustment disorder with anxious mood (disorder)"
"422",47447001,"Grandiose delusion disorder (disorder)"
"423",47505003,"Posttraumatic stress disorder (disorder)"
"424",47664006,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with hallucinations (disorder)"
"425",47836003,"Poisoning caused by morphine (disorder)"
"426",47916000,"Developmental arithmetic disorder (disorder)"
"427",48046002,"Symptomatic sexual masochism (disorder)"
"428",48309007,"Pedophilia, nonexclusive type (disorder)"
"429",48500005,"Delusional disorder (disorder)"
"430",48589009,"Minor depressive disorder (disorder)"
"431",48826008,"Conduct disorder, adolescent-onset type (disorder)"
"432",48927000,"Psychoactive substance-induced organic intoxication (disorder)"
"433",48937005,"Bipolar II disorder, most recent episode hypomanic (disorder)"
"434",49271002,"Deferred diagnosis on Axis II (disorder)"
"435",49468007,"Depressed bipolar I disorder (disorder)"
"436",49481000,"Postseizure delirium (disorder)"
"437",49512000,"Depressed bipolar I disorder in partial remission (disorder)"
"438",49540005,"Non dependent drug abuse (disorder)"
"439",49564006,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks (disorder)"
"440",50026000,"Organic anxiety disorder caused by psychoactive substance (disorder)"
"441",50299009,"Paraphilia (disorder)"
"442",50320000,"Hallucinogen intoxication (disorder)"
"443",50325005,"Alcoholic fatty liver (disorder)"
"444",50643003,"Latah (disorder)"
"445",50705009,"Factitious disorder (disorder)"
"446",50722006,"Delusional disorder caused by phencyclidine (disorder)"
"447",50878001,"Gender identity disorder of adulthood, previously asexual (disorder)"
"448",50933003,"Hallucinogen delusional disorder (disorder)"
"449",50983008,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission (disorder)"
"450",51133006,"Residual schizophrenia in remission (disorder)"
"451",51239001,"Sexual masochism (disorder)"
"452",51339003,"Polysubstance dependence (disorder)"
"453",51443000,"Amphetamine-induced psychotic disorder with hallucinations (disorder)"
"454",51493001,"Anxiety disorder caused by cocaine (disorder)"
"455",51637008,"Chronic bipolar I disorder, most recent episode depressed (disorder)"
"456",51771007,"Postviral fatigue syndrome (disorder)"
"457",51928006,"General paresis - neurosyphilis (disorder)"
"458",51946000,"Susto (disorder)"
"459",52072009,"Heat stroke (disorder)"
"460",52448006,"Dementia (disorder)"
"461",52702003,"Chronic fatigue syndrome (disorder)"
"462",52824009,"Developmental reading disorder (disorder)"
"463",52866005,"Opioid intoxication delirium (disorder)"
"464",52869003,"Bovine spongiform encephalopathy (disorder)"
"465",52910006,"Anxiety disorder due to a general medical condition (disorder)"
"466",52954000,"Schizoid personality disorder (disorder)"
"467",53049002,"Severe bipolar disorder without psychotic features (disorder)"
"468",53050002,"Organic mental disorder caused by hallucinogen (disorder)"
"469",53467004,"Anxiety disorder of childhood (disorder)"
"470",53607008,"Depressed bipolar I disorder in remission (disorder)"
"471",53936005,"Mood disorder caused by ingestible alcohol (disorder)"
"472",53956006,"Panic disorder without agoraphobia with panic attacks in partial remission (disorder)"
"473",54307006,"Zoophobia (disorder)"
"474",54319003,"Disruptive behavior disorder (disorder)"
"475",54417002,"Adult gender identity disorder, sexually attracted to females (disorder)"
"476",54502004,"Primary degenerative dementia of the Alzheimer type, presenile onset, with delusions (disorder)"
"477",54560009,"Windigo (disorder)"
