LSOA21CD,NDVI_MEAN,NDVI_MEDIAN,NDVI_STD,NDVI_MAX,NDVI_MIN,NDVI_CV,VEG_FRAC,EVI_MEAN,EVI_MEDIAN,EVI_STD,EVI_MAX,EVI_MIN,PXL_COUNT,FINAL_PXL_COUNT,PCT_FILTERED
S01015946,0.48250589014328066,0.4647484348541994,0.25419403493111065,0.907625542467452,0.010678871090770405,0.5268205842121999,0.8227899432278994,0.1847263945740725,0.144209640678446,0.134657565316329,0.5287462479796814,0.002655589066560443,13680,7398,54.07894736842105
S01015947,0.30651416963193223,0.2315165776185884,0.23103855116240563,0.8888186986734049,0.0006784260515603799,0.753761405026857,0.5616905248807089,0.10371045959528703,0.06256786399436251,0.10016376169687609,0.4449319383507706,0.00017630154616455986,9688,5868,60.569777043765484
S01015948,0.787143492168698,0.8382535351029521,0.15962550897961145,0.941921858500528,0.0,0.20279086414069095,0.9823854445351727,0.37131547992026714,0.40051105432729694,0.10669248768499187,0.5831801103205692,0.0,1118958,451899,40.38569812271774
S01015949,0.8089273760030936,0.8447488584474886,0.1253311671411081,0.9434200555695883,0.0,0.1549350051179734,0.9915565141021223,0.38708229334903305,0.4050351592259174,0.09203117472452599,0.6022619929025506,0.0,1542684,539706,34.98487052435885
S01015950,0.4485590375172474,0.42875354883402855,0.2006060368404619,0.860056925996205,0.03145079472438282,0.44722326396722856,0.8950518754988028,0.15731317390232397,0.12761532721480012,0.10182141768149315,0.4849112839379687,0.007909642960417764,8468,2506,29.59376476145489
S01015951,0.8269686753570451,0.8611574393889965,0.11510569246361572,0.9422057264050901,0.00078003120124805,0.1391899063334154,0.993962259428886,0.40452885349848533,0.41771644575446565,0.09209575506446425,0.6131318694475707,0.00020348778055877744,325440,159828,49.11135693215339
S01015952,0.4813804928588379,0.45220030349013657,0.18498495156087294,0.8929477422628107,0.11181102362204724,0.3842801158440767,0.9725301204819277,0.1677933901747874,0.14169114460442048,0.0906127860741161,0.4941183076447963,0.028235618199348056,4407,2075,47.08418425232585
S01015953,0.8276874061612379,0.8604427333974976,0.10962129946775308,0.9542943244600703,0.00029197080291970805,0.1324428747516768,0.9937389338312556,0.4042892427235972,0.4175853724119387,0.08733937174402236,0.6378047384685819,8.127438231469441e-05,805032,413987,51.4249123016228
S01015954,0.7994692901833694,0.8303686517143594,0.11037846841292541,0.9443561208267091,0.0,0.1380646758646709,0.9960066114606937,0.38365952046048685,0.3944603852031907,0.09507188130679885,0.6663912684263165,0.0,2049072,965596,47.12357594071853
S01015955,0.763273163120768,0.7844453015191432,0.1139377523855485,0.9373932840068299,0.0,0.14927519778069392,0.9958685719214809,0.3421486721243395,0.3453021089918096,0.09910468824461373,0.6445059779514518,0.0,2744280,1553458,56.60712463742767
S01015956,0.7555097886975154,0.7743362831858407,0.1212474122472852,0.9329399141630901,0.0,0.16048423734696204,0.9921098478301149,0.33133590478592795,0.3311442953370848,0.09372062728299688,0.6049184843855651,0.0,3995064,1608334,40.258028407054304
S01015957,0.49418325309143496,0.481294964028777,0.20887536587864927,0.8905365327581558,0.0011229646266142617,0.42266783540720804,0.9194613150250858,0.17350113738141165,0.15009707771195302,0.10163823426624913,0.4548437371831679,0.0003019825152123692,8909,3787,42.50757660792457
S01015958,0.36893732330068585,0.33172864762789833,0.2340177878224292,0.888100866824271,0.00037383177570093456,0.634302286710373,0.7412314886983632,0.12321402847512769,0.09307904629562203,0.10152129234294244,0.46265633980130816,9.124087591240877e-05,7400,2566,34.67567567567568
S01015959,0.523269942289704,0.5099529496923634,0.2583965004020676,0.928415300546448,0.0014464802314368371,0.4938110896861118,0.8835283291705008,0.20305837648975697,0.15986941597253893,0.14457280882011092,0.5323107399079131,0.00037967378428454277,18060,7607,42.120708748615726
S01015960,0.45083954267898657,0.42720763723150357,0.20869859757401454,0.9012539184952978,0.0,0.46291103112624526,0.8856585711753235,0.15018199055070508,0.12334445455464563,0.09738410955381925,0.481428649805234,0.0,16767,5641,33.643466332677285
S01015961,0.47592353383129316,0.4424094424094424,0.20945152895061492,0.9143497757847534,0.0035236081747709656,0.4400949187456276,0.9287677023885014,0.16221831230862352,0.12751036021676762,0.10899871654256747,0.548741289310602,0.0009641466017046112,11360,4731,41.64612676056338
S01015962,0.43396242901137383,0.4232346241457859,0.18558219823861116,0.865378421900161,0.024144335367471476,0.42764577261076026,0.8840179496030376,0.13655803436957914,0.12104567185433832,0.07936194127734028,0.4159422228166377,0.006454083803795852,7645,2897,37.89404839764552
S01015963,0.47160043191395795,0.44315688757562965,0.24559324459790838,0.877848678213309,0.0009033423667570009,0.5207655209330175,0.841399416909621,0.16244297750539183,0.12832357407410022,0.11662011511238707,0.5093848035306003,0.00020208960653153606,9636,3430,35.59568285595683
S01015964,0.34625539546892425,0.3293011193975576,0.20452530550822626,0.8366881883782757,0.0010080645161290322,0.5906775986298877,0.7204419889502762,0.10174396948932801,0.08402588271554418,0.07613258613323022,0.37610686790615583,0.00021508614199987095,8965,3620,40.3792526491913
S01015965,0.4298805150726496,0.4091695501730104,0.17556244178048333,0.8452066842568162,0.00199203187250996,0.4083982307288651,0.9274863857838922,0.13814964051685374,0.11668496467077669,0.08289402312035457,0.40353014235215434,0.0004807769355278129,7434,3489,46.93301049233253
S01015966,0.5673586921195434,0.6301659480969917,0.21318640981333198,0.8896164639850327,0.0011013215859030838,0.37575243452587004,0.928987921699292,0.21263051663262186,0.2203304128308692,0.11214544428584065,0.5024596815092809,0.00022590191338920642,22264,9604,43.13690262306863
S01015967,0.4790316121177727,0.4936566846236142,0.22843549362230217,0.8921547895961092,0.00043308791684711995,0.4768693502551978,0.8703703703703703,0.1671612892895689,0.14755970056072598,0.11181982413980436,0.5136602707704295,0.0001001141301083235,15928,5886,36.9537920642893
S01015968,0.38509732639429023,0.3652984222903137,0.15275875301727634,0.8312288266091777,0.07634001082837033,0.39667570389951495,0.9052553663952627,0.11627862048742586,0.09831864841019375,0.07039964914735358,0.40774168162703195,0.016312270066405978,5336,2702,50.63718140929535
S01015969,0.7897327528471777,0.8387096774193549,0.14970232133662978,0.9425122161540672,0.0,0.18956073532079895,0.9877298144439236,0.3771429086969118,0.40473510964521997,0.11054338964068283,0.5914344910310234,0.0,710548,422406,59.44791907091428
